external_source_group,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,excel_dataset_name,excel_category,target_name,target_type,spatial_unit,region,lag,lag_direction,n_samples,model_type,correlation,spearman,partial_correlation,ols_coefficient,ols_p_value,logistic_coefficient,logistic_odds_ratio,AUC,average_precision,brier_score,poisson_coefficient,poisson_rate_ratio,poisson_p_value,negative_control_correlation,negative_control_auc,negative_control_pass,best_reverse_lag_score,precursor_minus_reverse_score,fdr_q_value,train_period,test_period,status,error_message,reject_reasons
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,30D,external_precedes_target,1797,univariate_calendar_autocorrelation_adjusted,0.07889316963695438,0.08625177490452555,0.07889316963695438,0.48672014490890547,0.0007995441129423149,,,,,,0.12418312186707191,1.1322231868404802,,0.03257988295524696,,True,0.0749550476001392,0.0093277376931368,0.00712423680463364,2020-01-31..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,1D,external_precedes_target,1826,univariate_calendar_autocorrelation_adjusted,0.07844803890328099,0.06677241685795504,0.07844803890328099,14.272789434470779,0.0007773381709325378,,,,,,0.12415632126837038,1.1321928429878276,,0.049866792389525856,,True,0.04285052499289162,0.03559751391038937,0.006968252268348985,2020-01-02..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,1D,external_precedes_target,1826,univariate_calendar_autocorrelation_adjusted,0.050942228122290524,0.06191539772818122,0.050942228122290524,6.740348245874042,0.02936993548961617,,,,,,0.08120453065896449,1.0845927063434737,,-0.04931650930847868,,True,0.02127097716666863,0.03459870614962118,0.1373443225721217,2020-01-02..2023-06-30,2023-07-01..2024-12-31,ok,,fail_fdr
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.07307143362761201,0.07022263783957372,0.07307143362761201,13.335921391191864,0.0017635577541804171,,,,,,0.153147976807249,1.1654974327717982,,0.06922095416501767,,True,0.04285052499289162,0.03559751391038937,0.01373625386421933,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.052429939461268414,0.04643984123399595,0.052429939461268414,0.18417489908966042,0.025022925306181117,,,,,,0.1277636090933589,1.1362843636554714,,0.043253630245670485,,True,0.0666581779867961,-0.006642394634757388,0.12073012351052087,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,fail_fdr;fail_reverse_lag
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.06844611423450313,0.056604605773772895,0.06844611423450313,12.516492798489125,0.0034416137296182387,,,,,,0.14386285552073128,1.1547257334056191,,0.049370594509877574,,True,0.04285052499289162,0.03559751391038937,0.023950822077547333,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.05487063428770225,0.07558055471160142,0.05487063428770225,0.013287894877746387,0.01912401699665242,0.022166410200460347,1.0224139104184853,0.582974826013764,0.7665027986582187,0.2779726420014202,,,,0.05150195260262269,0.549290187756787,True,0.06406154431466703,0.0068343279915607374,0.09716322366387896,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.060648208487425054,0.027488956254603146,0.060648208487425054,0.015266412152394652,0.009578430878703475,0.013298124346300264,1.013386937648654,0.5737912263352543,0.12711386637809563,0.27775195264163227,,,,0.029202262164879558,0.5248543767573215,True,0.019246234101248177,0.041401974386176876,0.055482332760962885,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.08662680473695673,0.08668369632130339,0.08662680473695673,0.08764056314288042,0.00020928905615948723,,,,,,,,,0.07238510719127866,,True,0.06824577894592587,0.01838102579103086,0.002409438492585589,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.09661230363185032,0.08309287035147053,0.09661230363185032,0.41846536532851797,3.492533913878678e-05,,,,,,,,,0.08810528705771031,,True,0.08343604684229196,0.01317625678955836,0.0005559781154096997,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.07089587230622776,0.07026148544028504,0.07089587230622776,0.017202381616358512,0.002489254080576407,0.030507740593971593,1.030977870398983,0.5995273798757184,0.7760015951657647,0.2731021208968421,,,,0.05891442337424494,0.5474354361363143,True,0.06406154431466703,0.0068343279915607374,0.018381022985633495,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.0509925246011029,-0.014272183239189568,0.0509925246011029,0.012860496798901623,0.029791095415444342,0.011775294958861083,1.0118448966698157,0.5608837246953479,0.1280386674730889,0.2793276264041568,,,,0.03497695242726711,0.5253684780781229,True,0.019246234101248177,0.041401974386176876,0.13857268499067688,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,fail_fdr
kp_dst,kp_rolling_max_3d,kp_rolling,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.08450226895448341,0.07505154155562678,0.08450226895448341,0.36702953815399253,0.0003074106754111847,,,,,,,,,0.07136459379102424,,True,0.08343604684229196,0.01317625678955836,0.0032871445693074316,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
