date,external_source_group,external_feature_name,base_feature_name,feature_adjustment,value,missing_ratio,valid_count
2020-07-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.958375,0.0,1
2020-07-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-07-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.875,0.0,1
2020-08-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-08-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.0,0.0,1
2020-08-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.0415,0.0,1
2020-08-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.749875,0.0,1
2020-08-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.25,0.0,1
2020-08-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.083375,0.0,1
2020-08-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-08-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-08-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.374875,0.0,1
2020-08-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.374875,0.0,1
2020-08-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.374875,0.0,1
2020-08-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.75,0.0,1
2020-08-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7915,0.0,1
2020-08-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-08-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.333125,0.0,1
2020-08-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-08-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-08-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.416625,0.0,1
2020-08-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.041625,0.0,1
2020-08-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5417500000000001,0.0,1
2020-08-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-08-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.54175,0.0,1
2020-08-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.875,0.0,1
2020-08-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.41675,0.0,1
2020-08-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.625,0.0,1
2020-08-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.54175,0.0,1
2020-08-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.666625,0.0,1
2020-08-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.750125,0.0,1
2020-08-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.624875,0.0,1
2020-08-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.0,0.0,1
2020-08-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.7501249999999997,0.0,1
2020-09-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.16675,0.0,1
2020-09-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.250125,0.0,1
2020-09-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-09-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.70825,0.0,1
2020-09-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.333375,0.0,1
2020-09-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-09-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.791625,0.0,1
2020-09-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.75,0.0,1
2020-09-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.125,0.0,1
2020-09-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.2915,0.0,1
2020-09-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.416625,0.0,1
2020-09-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.1665,0.0,1
2020-09-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.4165,0.0,1
2020-09-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.2916250000000002,0.0,1
2020-09-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.3331250000000001,0.0,1
2020-09-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
2020-09-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5415,0.0,1
2020-09-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.833375,0.0,1
2020-09-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003,0.0,1
2020-09-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.75,0.0,1
2020-09-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.374875,0.0,1
2020-09-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.291875,0.0,1
2020-09-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.2085,0.0,1
2020-09-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.95825,0.0,1
2020-09-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.999875,0.0,1
2020-09-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.6251249999999997,0.0,1
2020-09-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.000125,0.0,1
2020-09-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,4.250125,0.0,1
2020-09-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.125,0.0,1
2020-09-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.958375,0.0,1
2020-10-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.33325,0.0,1
2020-10-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.95825,0.0,1
2020-10-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.16675,0.0,1
2020-10-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.833375,0.0,1
2020-10-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.9165,0.0,1
2020-10-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.25,0.0,1
2020-10-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.95825,0.0,1
2020-10-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.416625,0.0,1
2020-10-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.08325,0.0,1
2020-10-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.16675,0.0,1
2020-10-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.4165,0.0,1
2020-10-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-10-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825000000000005,0.0,1
2020-10-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.0,0.0,1
