external_source_id,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,negative_control_correlation,negative_control_pass,confounders,train_period,test_period,status,error_message
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,-7.373236578694748e-05,0.35294117647058826,0.7365728900255756,-0.0251799990922066,-0.0251799990922066,-0.07112967129536432,,,,,,-2.3467889334985093,0.037680627282857454,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,-4.840071776953242e-05,0.5490196078431373,0.8753191267649665,-0.01653724316346443,-0.01653724316346443,-0.06655800334931382,,,,,,-2.401869086865676,0.030666416274156394,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,max_magnitude,14D,external_precedes_target,1813,calendar_adjusted_correlation+ols+logistic_probe,-1.8934161421702077e-05,0.803921568627451,0.9579998831707459,-0.006491327383931036,-0.006491327383931036,-0.059619791366147624,,,,,,-2.6405621389435416,0.03555358269312605,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-15..2023-07-06,2023-07-07..2024-12-31,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,0.0065916786821049725,0.6470588235294118,0.9243697478991597,0.010665683024047901,0.010665683024047901,0.012457004100888156,,,,,,-1.105691057236125,-0.004278643616875374,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,-0.00283446334402365,0.7843137254901961,0.9571286141575274,-0.004614904039333827,-0.004614904039333827,0.03549230208500423,,,,,,-1.269326683787747,-0.00300605680858088,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,-0.06814156785301426,0.0196078431372549,0.09914077990746861,-0.11079461002620432,-0.11079461002620432,-0.020226025222058446,,,,,,-1.1688466109035278,0.016779979100479007,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,-0.044884350156076676,0.0196078431372549,0.09914077990746861,-0.07300902901293944,-0.07300902901293944,0.0060435355270624545,,,,,,-1.1583924346210397,-0.01694683192555627,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,0.09136777978045317,0.0196078431372549,0.09914077990746861,0.14865852500787485,0.14865852500787485,0.0280819431927786,,,,,,-1.1306884484421762,-0.020721686177660802,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,0.018896778677986253,0.13725490196078433,0.43765956338248324,0.030743056024193506,0.030743056024193506,4.003755584830696e-05,,,,,,-1.0199335553648132,-0.01347606500789395,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__ma7_anomaly,pageviews_余震,ma7_anomaly,気象庁_地震月報_カタログ編,count,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,0.017619972247081346,0.2549019607843137,0.6293875574921326,0.02867355857249851,0.02867355857249851,0.05290467724449863,,,,,,-1.2693266834817298,0.004317212547699165,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
