external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,-5467.131471205385,1.0,1.0,-0.0004273918519997082,-0.0004273918519997082,0.017058237895571825,,,,,,2.685950788032931,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,370310.5932358595,0.11764705882352941,0.19427954668105774,0.02894854581010255,0.02894854581010255,-0.0045303885220818255,,,,,,2.4686644009612784,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,2760561.846743255,0.058823529411764705,0.10652148183216949,0.21580137633457055,0.21580137633457055,0.01597352026291451,,,,,,2.556069829716063,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,2760561.846743255,0.0196078431372549,0.04084967320261438,0.21580137633457055,0.21580137633457055,0.01597352026291451,,,,,,2.556069829716063,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,2760561.846743255,0.0196078431372549,0.04084967320261438,0.21580137633457055,0.21580137633457055,0.01597352026291451,,,,,,2.556069829716063,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,2760561.846743255,0.0392156862745098,0.07352941176470588,0.21580137633457055,0.21580137633457055,0.01597352026291451,,,,,,2.556069829716063,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,1H,external_precedes_target,1827,correlation+ols+logistic_probe,3675453.5166496914,0.0196078431372549,0.04084967320261438,0.287320693712628,0.287320693712628,0.06873023417116365,,,,,,3.7006287217550002,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,6H,external_precedes_target,1827,correlation+ols+logistic_probe,3675453.5166496914,0.0196078431372549,0.04084967320261438,0.287320693712628,0.287320693712628,0.06873023417116365,,,,,,3.7006287217550002,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,12H,external_precedes_target,1827,correlation+ols+logistic_probe,3675453.5166496914,0.0196078431372549,0.04084967320261438,0.287320693712628,0.287320693712628,0.06873023417116365,,,,,,3.7006287217550002,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,1D,external_precedes_target,1826,correlation+ols+logistic_probe,-77118.13455431591,0.6862745098039216,0.7938908211099349,-0.006028563873339382,-0.006028563873339382,0.018693008755222118,,,,,,0.833580022422592,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,3D,external_precedes_target,1824,correlation+ols+logistic_probe,-85683.04963249221,0.6274509803921569,0.7449945677479436,-0.0066981074745063995,-0.0066981074745063995,-0.002117861697243837,,,,,,0.8951382230616748,2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,energy,7D,external_precedes_target,1820,correlation+ols+logistic_probe,-29747.066757947858,0.8431372549019608,0.9022871931174373,-0.002325420672050207,-0.002325420672050207,0.00817247163465283,,,,,,0.9382112330915613,2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
